rho1,rho3,theta1_final,theta2_final,theta3_final,theta12_ratio_analytical,theta12_ratio_simulation,theta12_ratio_error,theta32_ratio_analytical,theta32_ratio_simulation,theta32_ratio_error,workspace_area,path_length,rmse,max_error,tension_final
0.5,1.0,65.97646742609972,42.908765828063444,32.374501848434456,2.6465742151834637,1.5375988135027971,1.1089754016806666,0.78756254197209,0.7544962252738738,0.033066316698216136,0.005025676734973342,0.1952231071803962,24.78431952973617,61.690366370845226,59.481924995793825
0.5,1.5,67.47806169865379,46.245213592888575,21.497762632889227,2.6465742151834633,1.4591361236361622,1.187438091547301,0.5250416946480599,0.4648645981428676,0.06017709650519232,0.005182781527215627,0.1982505446890795,26.13053435022433,65.30295026591908,63.273911662173816
0.5,2.0,68.15104108788314,47.88057323545788,15.956829634913428,2.6465742151834637,1.423354744579666,1.2232194706037978,0.39378127098604493,0.33326312858544943,0.0605181424005955,0.005241773495191888,0.19937789352386054,26.891955758726077,67.32892269326128,65.12194185218944
0.5,4.0,69.04234090979193,50.1960999010793,7.771093673762627,2.6465742151834633,1.3754522970081866,1.2711219181752766,0.19689063549302246,0.15481469056514358,0.04207594492787889,0.005300654625830232,0.2005278691529306,28.164601607484542,70.69267578298766,67.7312995096676
0.75,0.25,44.699964952316584,30.405614710303947,88.59748949313578,1.7643828101223094,1.4701220606195646,0.2942607495027447,3.15025016788836,2.9138529293772706,0.2363972385110893,0.002958458683646634,0.15117748213123416,21.880415424589167,42.55987892523062,44.707297864619854
0.75,0.5,50.55710867249813,37.15945455094985,64.17661441672666,1.7643828101223091,1.360544961799118,0.40383784832319103,1.5751250839441797,1.7270601840706032,0.15193510012642353,0.0036056897173466123,0.16673394488150534,20.895238701043336,44.859115429403474,52.82764510850066
0.75,0.75,54.38469688926829,42.756311845744605,45.78436698748867,1.7643828101223091,1.2719688518849883,0.4924139582373208,1.05008338929612,1.0708212427832555,0.020737853487135416,0.003954145509759135,0.17564598970584291,22.198616189270105,50.496206664747106,59.30755503094555
0.75,1.0,56.3538621053488,46.075160220217064,34.764516370453705,1.7643828101223094,1.2230855375435374,0.5412972725787719,0.78756254197209,0.7545175362233374,0.033045005748752576,0.004131230344148083,0.17985217626840322,23.20686008023454,53.93979723700387,63.080726018652015
0.75,1.5,58.19683102507065,49.50785311849551,22.969774944402698,1.764382810122309,1.1755070632083024,0.5888757469140065,0.5250416946480598,0.4639622503812729,0.06107944426678691,0.004282285400132611,0.18328575507434863,24.51922251676991,58.01765756206716,66.95284545580007
0.75,2.0,59.030043994490796,51.176989775674066,16.99501102365939,1.7643828101223094,1.1534489279896942,0.6109338821326151,0.39378127098604493,0.332083053304898,0.061698217681146916,0.004340343711536306,0.1845805257846176,25.318960499984232,60.3614140513724,68.83115907572575
0.75,4.0,60.13655194006544,53.51756331339589,8.232022272108512,1.7643828101223094,1.1236788115316296,0.6407039985906797,0.1968906354930225,0.15381907849395618,0.04307155699906631,0.004399429826819896,0.18592226086249883,26.756483458536337,64.34117309872457,71.46541424438588
1.0,0.25,37.794500417222345,33.586046527376475,89.86635388559439,1.3232871075917316,1.125303640201162,0.1979834673905696,3.15025016788836,2.6757050375769302,0.47454513031142964,0.002565921420668861,0.1414200093660114,25.161685913528906,55.8772444412579,48.583796212416026
1.0,0.5,42.57913724409349,39.6682908001127,67.8975568956006,1.3232871075917316,1.0733796789644519,0.24990742862727977,1.5751250839441797,1.7116330329868334,0.13650794904265373,0.0031053631524152175,0.15500671236900027,21.598726986274247,39.157890965101885,55.75635293711176
1.0,0.75,46.4871925323487,45.483134165785486,48.68917325398165,1.3232871075917318,1.0220753997053815,0.3012117078863503,1.0500833892961199,1.0704885260657322,0.02040513676961231,0.0033875334081231202,0.16385694754778943,22.320295987924055,44.80845251677642,62.414164956137306
1.0,1.0,48.596811012066986,48.96642729778084,36.96372350407313,1.3232871075917316,0.9924516386816197,0.33083546891011195,0.78756254197209,0.7548789148794673,0.032683627092622625,0.0035412445756680066,0.1682091769473157,23.107666635122133,48.32013699322069,66.34693472835463
