rho1,rho3,k_mcp,k_pip,k_dip,Tmax_N,status,grip_close_N,final_slip_mm
0.7428530093564767,0.5693452734909306,0.12257074654381866,0.165,0.09394197012600354,103.67142857142858,slip,163.3330514569148,8.008646363191284
0.7428530093564767,0.7428530093564767,0.12257074654381866,0.165,0.12257074654381866,106.00714285714287,slip,138.84022189556288,8.008941295540966
0.7428530093564767,0.9692371557358053,0.12257074654381866,0.165,0.15992413069640787,104.57142857142857,slip,138.99971864220532,8.007334764769205
0.7428530093564767,1.26461177679369,0.12257074654381866,0.165,0.20866094317095885,103.8,slip,117.30778154691701,8.007772285288228
0.7428530093564767,1.6500016910631263,0.12257074654381866,0.165,0.2722502790254159,106.5,slip,54.75899492128609,8.011371975858886
0.7428530093564767,2.1528390218014946,0.12257074654381866,0.165,0.3552184385972466,146.14285714285714,slip,120.03437175612143,8.014411956538655
0.7428530093564767,2.808915820446815,0.12257074654381866,0.165,0.4634711103737245,136.90714285714284,slip,86.19912061563595,8.000765531051297
0.7428530093564767,3.6649317512621313,0.12257074654381866,0.165,0.6047137389582516,126.66428571428571,slip,79.68592318603852,8.018803836918812
0.7428530093564767,4.781818181818182,0.12257074654381866,0.165,0.7890000000000001,124.17857142857143,slip,80.80125902892512,8.004555505565682
0.9692371557358053,0.4363636363636363,0.15992413069640787,0.165,0.072,104.16428571428571,slip,0.0,8.014060365696304
0.9692371557358053,0.5693452734909306,0.15992413069640787,0.165,0.09394197012600354,102.79285714285714,slip,56.44708441880129,8.010818574384276
0.9692371557358053,0.7428530093564767,0.15992413069640787,0.165,0.12257074654381866,104.85,slip,125.47969446799391,8.032500543550993
0.9692371557358053,0.9692371557358053,0.15992413069640787,0.165,0.15992413069640787,105.62142857142858,slip,172.41365042533693,8.048790550057884
0.9692371557358053,1.26461177679369,0.15992413069640787,0.165,0.20866094317095885,106.5,slip,140.18217795235645,8.001828638761713
0.9692371557358053,1.6500016910631263,0.15992413069640787,0.165,0.2722502790254159,106.19999999999999,slip,123.27241119510322,8.00982422064059
0.9692371557358053,2.1528390218014946,0.15992413069640787,0.165,0.3552184385972466,146.48571428571427,slip,88.58893090103732,8.060184931023347
0.9692371557358053,2.808915820446815,0.15992413069640787,0.165,0.4634711103737245,137.35714285714286,slip,84.52723036694628,8.015067178296757
0.9692371557358053,3.6649317512621313,0.15992413069640787,0.165,0.6047137389582516,127.17857142857143,slip,80.8234442311574,8.02646495470804
0.9692371557358053,4.781818181818182,0.15992413069640787,0.165,0.7890000000000001,124.52142857142857,slip,80.44882785406298,8.054204483971816
1.26461177679369,0.4363636363636363,0.20866094317095885,0.165,0.072,105.75,slip,114.77103965579701,8.02201657149201
1.26461177679369,0.5693452734909306,0.20866094317095885,0.165,0.09394197012600354,105.21428571428571,slip,155.7982268022295,8.00989235632478
1.26461177679369,0.7428530093564767,0.20866094317095885,0.165,0.12257074654381866,105.44999999999999,slip,175.58944234957556,8.003958839249059
1.26461177679369,0.9692371557358053,0.20866094317095885,0.165,0.15992413069640787,105.32142857142858,slip,106.8735944216678,8.005525441223192
1.26461177679369,1.26461177679369,0.20866094317095885,0.165,0.20866094317095885,104.82857142857142,slip,117.9668811356414,8.006218010020616
1.26461177679369,1.6500016910631263,0.20866094317095885,0.165,0.2722502790254159,105.64285714285714,slip,145.1466522043749,8.009679153125985
1.26461177679369,2.1528390218014946,0.20866094317095885,0.165,0.3552184385972466,146.72142857142856,slip,91.4988277243628,8.026636714725884
1.26461177679369,2.808915820446815,0.20866094317095885,0.165,0.4634711103737245,137.4857142857143,slip,84.32474078694922,8.09496848824368
1.26461177679369,3.6649317512621313,0.20866094317095885,0.165,0.6047137389582516,126.81428571428572,slip,81.73785665942775,8.036594233722258
1.26461177679369,4.781818181818182,0.20866094317095885,0.165,0.7890000000000001,124.56428571428572,slip,80.1441393855514,8.051975287857143
1.6500016910631263,0.4363636363636363,0.2722502790254159,0.165,0.072,106.67142857142858,slip,0.0,8.015513803633242
1.6500016910631263,0.5693452734909306,0.2722502790254159,0.165,0.09394197012600354,105.06428571428572,slip,99.0464507086157,8.003953195273285
1.6500016910631263,0.7428530093564767,0.2722502790254159,0.165,0.12257074654381866,106.24285714285715,slip,122.79230338963629,8.009485229746547
1.6500016910631263,0.9692371557358053,0.2722502790254159,0.165,0.15992413069640787,105.3,slip,143.77634307019798,8.030636117889498
1.6500016910631263,1.26461177679369,0.2722502790254159,0.165,0.20866094317095885,103.64999999999999,slip,119.37761658903933,8.008645900958918
1.6500016910631263,1.6500016910631263,0.2722502790254159,0.165,0.2722502790254159,106.73571428571428,slip,111.70112181844294,8.012244146540466
1.6500016910631263,2.1528390218014946,0.2722502790254159,0.165,0.3552184385972466,107.12142857142858,slip,204.56861101325745,8.01829722145669
1.6500016910631263,2.808915820446815,0.2722502790254159,0.165,0.4634711103737245,137.85,slip,95.0894701799729,8.002920566123944
1.6500016910631263,3.6649317512621313,0.2722502790254159,0.165,0.6047137389582516,126.68571428571428,slip,82.3732117046672,8.053757161731914
1.6500016910631263,4.781818181818182,0.2722502790254159,0.165,0.7890000000000001,124.58571428571427,slip,79.91186421953793,8.009185354037097
2.1528390218014946,0.4363636363636363,0.3552184385972466,0.165,0.072,108.36428571428571,slip,147.9070440709892,8.006173795746543
2.1528390218014946,0.5693452734909306,0.3552184385972466,0.165,0.09394197012600354,105.17142857142858,slip,141.7327456225132,8.001867668009039
2.1528390218014946,0.7428530093564767,0.3552184385972466,0.165,0.12257074654381866,104.95714285714286,slip,115.02627711032845,8.001217723178508
2.1528390218014946,0.9692371557358053,0.3552184385972466,0.165,0.15992413069640787,104.57142857142857,slip,121.64389525136976,8.002495584430319
2.1528390218014946,1.26461177679369,0.3552184385972466,0.165,0.20866094317095885,104.37857142857142,slip,112.92105094555743,8.005129435825719
2.1528390218014946,1.6500016910631263,0.3552184385972466,0.165,0.2722502790254159,104.55,slip,54.527018604489406,8.007790936341062
2.1528390218014946,2.1528390218014946,0.3552184385972466,0.165,0.3552184385972466,146.12142857142857,slip,108.21103849380421,8.088659778163365
2.1528390218014946,2.808915820446815,0.3552184385972466,0.165,0.4634711103737245,137.22857142857143,slip,105.67775071614076,8.026637708926334
2.1528390218014946,3.6649317512621313,0.3552184385972466,0.165,0.6047137389582516,126.68571428571428,slip,82.17137391095915,8.038957273129213
2.1528390218014946,4.781818181818182,0.3552184385972466,0.165,0.7890000000000001,122.74285714285715,slip,80.55651999062034,8.02637502547092
2.808915820446815,0.4363636363636363,0.4634711103737245,0.165,0.072,105.10714285714286,slip,130.09080987101936,8.011862458771366
